DIAG_PRINC,TOTAL_OCORRENCIAS,valor_total,idade_media,sexo_majoritario,total_masculino,total_feminino,total_ignorado,descricao_cid
C189,3096,4453055.51,62.22609819121447,Masculino,1704,1392,0,Neoplasia maligna do colon
O342,3038,2425849.44,29.43383805134957,Feminino,0,3038,0,"Assistencia prestada a mae por anormalidade, conhecida ou suspeita, dos orgaos pelvicos maternos"
G560,2989,1395531.51,53.14854466376715,Feminino,465,2524,0,Mononeuropatias dos membros superiores
I209,2953,15865755.4,64.69996613613274,Masculino,1758,1195,0,Angina pectoris
C20 ,2950,8388921.2,62.61254237288136,Masculino,1812,1138,0,Neoplasia maligna do reto
K929,2943,1890171.15,52.810057764186205,Feminino,1374,1569,0,Outras doencas do aparelho digestivo
N201,2930,3067363.03,48.042320819112625,Masculino,1591,1339,0,Calculose do rim e do ureter
F322,2919,1820097.6,37.30352860568688,Feminino,1100,1819,0,Episodios depressivos
A09 ,2856,1402778.18,33.84873949579832,Feminino,1347,1509,0,Diarreia e gastroenterite de origem infecciosa presumivel
G409,2785,2260823.9,31.097307001795333,Masculino,1497,1288,0,Epilepsia
P599,2666,1694347.17,3.9939984996249063,Masculino,1395,1271,0,Ictericia neonatal devida a outras causas e as nao especificadas
N47 ,2663,705436.1,22.925272249342846,Masculino,2659,4,0,"Hipertrofia do prepucio, fimose e parafimose"
D649,2634,2040048.46,63.812072892938495,Feminino,1219,1415,0,Outras anemias
O021,2623,627637.3,30.41555470834922,Feminino,0,2623,0,Outros produtos anormais da concepcao
K928,2525,1942017.82,53.78891089108911,Feminino,1242,1283,0,Outras doencas do aparelho digestivo
I743,2458,5870357.56,67.02888527257933,Masculino,1555,903,0,Embolia e trombose arteriais
J441,2300,3205849.54,69.90130434782608,Feminino,1091,1209,0,Outras doencas pulmonares obstrutivas cronicas
A46 ,2299,2185377.44,57.862983906046104,Masculino,1318,981,0,Erisipela
T813,2247,3009360.56,53.83266577659101,Masculino,1290,957,0,Complicacoes de procedimentos nao classificadas em outra parte
H269,2241,1798968.1700000002,70.30432842481035,Feminino,803,1438,0,Outras cataratas
S721,2240,4650833.57,76.41741071428571,Feminino,685,1555,0,Fratura do femur
A488,2229,4315613.82,57.14131897711979,Masculino,1224,1005,0,Outras doencas bacterianas nao classificadas em outra parte
O808,2222,1516770.5,26.78982898289829,Feminino,0,2222,0,Parto unico espontaneo
S822,2217,3906405.02,37.98195760036085,Masculino,1707,510,0,"Fratura da perna, incluindo tornozelo"
O420,2200,1596602.25,27.09090909090909,Feminino,1,2199,0,Ruptura prematura de membranas
O759,2199,1707116.85,27.053206002728512,Feminino,0,2199,0,Outras complicacoes do trabalho de parto e do parto nao classificadas em outra parte
C448,2192,2322156.45,67.84306569343066,Masculino,1166,1026,0,Outras neoplasias malignas da pele
J440,2191,3219631.57,68.53172067549065,Feminino,1042,1149,0,Outras doencas pulmonares obstrutivas cronicas
C61 ,2182,7118279.68,69.46654445462877,Masculino,2181,1,0,Neoplasia maligna da prostata
C508,2159,6847627.45,57.06855025474757,Feminino,15,2144,0,Neoplasia maligna da mama
K439,2140,1811365.95,54.28785046728972,Feminino,874,1266,0,Hernia ventral
J158,2118,2549220.12,56.315391879131255,Masculino,1111,1007,0,Pneumonia bacteriana nao classificada em outra parte
C443,2091,4342480.77,68.74557627929221,Masculino,1118,973,0,Outras neoplasias malignas da pele
D259,2079,2371572.55,46.366041366041365,Feminino,1,2078,0,Leiomioma do utero
Z741,2042,716328.2,24.83692458374143,Masculino,1128,914,0,Problemas relacionados com a dependencia de uma pessoa que oferece cuidados de saude
P073,2016,18183080.51,0.8506944444444444,Masculino,1037,979,0,Transtornos relacionados com a gestacao de curta duracao e peso baixo ao nascer nao classificados em outra parte
M751,2011,1703322.51,58.127797115862755,Feminino,783,1228,0,Lesoes do ombro
T888,2004,9464886.62,41.343313373253494,Masculino,1037,967,0,Outras complicacoes de cuidados medicos e cirurgicos nao classificadas em outra parte
S828,1989,1953238.14,43.97838109602815,Masculino,1005,984,0,"Fratura da perna, incluindo tornozelo"
K805,1977,2545941.49,51.514921598381385,Feminino,559,1418,0,Colelitiase
F142,1973,1246588.41,34.12316269640142,Masculino,1497,476,0,Transtornos mentais e comportamentais devidos ao uso da cocaina
C509,1960,4354968.71,57.15663265306122,Feminino,28,1932,0,Neoplasia maligna da mama
N180,1947,17619662.69,57.29789419619928,Masculino,1081,866,0,Insuficiencia renal cronica
N110,1893,975566.13,52.262546222926574,Feminino,573,1320,0,Nefrite tubulo-intersticial cronica
J90 ,1880,4837793.88,57.27553191489362,Masculino,1019,861,0,Derrame pleural nao classificado em outra parte
N40 ,1853,2050722.16,68.92336751214248,Masculino,1853,0,0,Hiperplasia da prostata
J353,1833,796440.4500000001,7.405891980360066,Masculino,995,838,0,Doencas cronicas das amigdalas e das adenoides
H330,1814,9115638.29,61.056229327453146,Masculino,965,849,0,Descolamentos e defeitos da retina
J188,1801,1835885.73,50.44641865630206,Feminino,891,910,0,Pneumonia por microorganismo nao especificada
F329,1793,814819.54,38.8962632459565,Feminino,688,1105,0,Episodios depressivos
Z478,1792,550486.7,40.53236607142857,Masculino,1061,731,0,Outros cuidados de seguimento ortopedico
N200,1786,1554619.98,47.82250839865622,Feminino,841,945,0,Calculose do rim e do ureter
L97 ,1777,1759446.5,57.24985931344963,Masculino,1118,659,0,Ulcera dos membros inferiores nao classificada em outra parte
I739,1774,6424368.38,67.29819616685457,Masculino,1129,645,0,Outras doencas vasculares perifericas
C349,1754,2592671.73,66.212086659065,Masculino,884,870,0,Neoplasia maligna dos bronquios e dos pulmoes
K403,1741,1469994.58,53.19931074095347,Masculino,1363,378,0,Hernia inguinal
K801,1738,1973776.61,49.71346375143843,Feminino,469,1269,0,Colelitiase
R100,1703,5597129.6,52.894304169113326,Masculino,931,772,0,Dor abdominal e pelvica
S068,1682,2874473.21,45.12485136741974,Masculino,1181,501,0,Traumatismo intracraniano
O034,1657,389112.35,30.4067592033796,Feminino,0,1657,0,Aborto espontaneo
O664,1653,1346160.52,27.017543859649123,Feminino,0,1653,0,Outras formas de obstrucao do trabalho de parto
S626,1642,567224.91,38.86601705237515,Masculino,1267,375,0,Fratura ao nivel do punho e da mao
S826,1641,1241970.94,45.471054235222425,Feminino,771,870,0,"Fratura da perna, incluindo tornozelo"
J210,1630,1131214.72,5.52638036809816,Masculino,934,696,0,Bronquiolite aguda
J352,1599,729155.14,6.988117573483427,Masculino,933,666,0,Doencas cronicas das amigdalas e das adenoides
Z470,1590,394845.97,42.89559748427673,Masculino,907,683,0,Outros cuidados de seguimento ortopedico
I48 ,1584,3404259.56,65.98863636363636,Masculino,883,701,0,Flutter e fibrilacao atrial
I442,1558,10540086.29,73.3607188703466,Masculino,866,692,0,Bloqueio atrioventricular e do ramo esquerdo
R521,1539,1812638.3,54.84600389863548,Feminino,511,1028,0,Dor nao classificada em outra parte
O623,1537,444161.35,26.40793754066363,Feminino,0,1537,0,Anormalidades da contracao uterina
F323,1525,1122994.6,39.903606557377046,Feminino,611,914,0,Episodios depressivos
G589,1505,1344850.18,53.59867109634551,Feminino,477,1028,0,Outras mononeuropatias
S723,1497,3369927.08,39.40080160320641,Masculino,938,559,0,Fratura do femur
G459,1406,1412963.19,68.76031294452348,Feminino,693,713,0,Acidentes vasculares cerebrais isquemicos transitorios e sindromes correlatas
I702,1360,5238795.75,67.29338235294118,Masculino,848,512,0,Aterosclerose
O244,1338,616372.97,29.803437967115098,Feminino,0,1338,0,Diabetes mellitus na gravidez
F312,1306,1363015.3,43.848392036753445,Feminino,409,897,0,Transtorno afetivo bipolar
F29 ,1304,1430393.67,39.01303680981595,Masculino,736,568,0,Psicose nao-organica nao especificada
I638,1300,2666241.11,66.51,Feminino,631,669,0,Infarto cerebral
J068,1290,612087.84,30.505426356589147,Masculino,676,614,0,Infeccoes agudas das vias aereas superiores de localizacoes multiplas e nao especificadas
B24 ,1268,2061441.45,44.46293375394322,Masculino,678,590,0,Doenca pelo virus da imunodeficiencia humana [HIV] nao especificada
J342,1265,542387.25,34.8901185770751,Masculino,661,604,0,Outros transtornos do nariz e dos seios paranasais
O619,1264,1105292.88,26.997626582278482,Feminino,0,1264,0,Falha na inducao do trabalho de parto
P229,1253,9081802.73,0.475658419792498,Masculino,708,545,0,Desconforto (angustia) respiratorio(a) do recem-nascido
K564,1239,3574318.36,56.82566585956417,Masculino,678,561,0,Ileo paralitico e obstrucao intestinal sem hernia
N840,1238,316416.72000000003,54.93214862681745,Feminino,0,1238,0,Polipo do trato genital feminino
N111,1191,504382.51,50.79513014273719,Feminino,336,855,0,Nefrite tubulo-intersticial cronica
L988,1190,670366.99,48.16470588235294,Masculino,634,556,0,Outras afeccoes da pele e do tecido subcutaneo nao classificadas em outra parte
K566,1167,3366658.3,56.29820051413882,Masculino,638,529,0,Ileo paralitico e obstrucao intestinal sem hernia
E148,1157,774391.05,58.39066551426102,Feminino,507,650,0,Diabetes mellitus nao especificado
K859,1154,1116420.72,52.95580589254766,Feminino,521,633,0,Pancreatite aguda
C64 ,1135,2936814.89,57.118061674008814,Masculino,696,439,0,"Neoplasia maligna do rim, exceto pelve renal"
A049,1133,568281.89,34.70255957634598,Feminino,501,632,0,Outras infeccoes intestinais bacterianas
O140,1131,471101.1,29.31211317418214,Feminino,1,1130,0,Hipertensao gestacional [induzida pela gravidez] com proteinuria significativa
S420,1126,745489.1900000001,36.258436944937834,Masculino,877,249,0,Fratura do ombro e do braco
J969,1125,4295936.18,54.72622222222222,Masculino,584,541,0,Insuficiencia respiratoria nao classificada de outra parte
O149,1125,841926.12,28.69511111111111,Feminino,0,1125,0,Hipertensao gestacional [induzida pela gravidez] com proteinuria significativa
Z039,1100,89904.18000000001,34.19090909090909,Masculino,603,497,0,Observacao e avaliacao medica por doencas e afeccoes suspeitas
O429,1098,876039.32,27.82969034608379,Feminino,0,1098,0,Ruptura prematura de membranas
I809,1091,586743.85,59.2621448212649,Feminino,477,614,0,Flebite e tromboflebite
I211,1089,7473104.72,63.5307621671258,Masculino,722,367,0,Infarto agudo do miocardio
J81 ,1087,2807297.57,68.85096596136155,Feminino,491,596,0,"Edema pulmonar, nao especificado de outra forma"
I10 ,1078,616243.8099999999,60.64842300556586,Feminino,455,623,0,Hipertensao essencial (primaria)
K818,1031,1107892.59,51.03782735208535,Feminino,252,779,0,Colecistite
F109,1022,842151.92,49.043052837573384,Masculino,917,105,0,Transtornos mentais e comportamentais devidos ao uso de alcool
S424,1017,647181.33,21.64503441494592,Masculino,589,428,0,Fratura do ombro e do braco
C910,1009,4770816.65,18.161546085232903,Masculino,581,428,0,Leucemia linfoide
N202,1008,1020691.5599999999,48.53174603174603,Masculino,530,478,0,Calculose do rim e do ureter
I210,1002,6293710.64,63.29241516966068,Masculino,662,340,0,Infarto agudo do miocardio
A498,972,1750287.23,58.890946502057616,Masculino,498,474,0,Infeccao bacteriana de localizacao nao especificada
S821,965,993519.24,43.895336787564766,Masculino,656,309,0,"Fratura da perna, incluindo tornozelo"
C187,965,5333591.43,62.888082901554405,Masculino,507,458,0,Neoplasia maligna do colon
K921,964,1014392.34,67.62863070539419,Masculino,570,394,0,Outras doencas do aparelho digestivo
L89 ,941,1483956.83,58.81509032943677,Masculino,598,343,0,Ulcera de decubito
S823,940,965662.77,43.87021276595745,Masculino,532,408,0,"Fratura da perna, incluindo tornozelo"
E105,932,814522.27,63.48927038626609,Masculino,633,299,0,Diabetes mellitus insulino-dependente
A490,912,915068.83,41.05811403508772,Masculino,503,409,0,Infeccao bacteriana de localizacao nao especificada
C449,911,2224410.19,68.09989023051591,Masculino,522,389,0,Outras neoplasias malignas da pele
S422,900,632293.31,54.513333333333335,Feminino,401,499,0,Fratura do ombro e do braco
N188,892,4916514.14,60.89125560538117,Masculino,480,412,0,Insuficiencia renal cronica
S065,889,3690045.64,62.214848143982,Masculino,647,242,0,Traumatismo intracraniano
L038,887,677548.35,46.653889515219845,Masculino,504,383,0,Celulite (Flegmao)
I269,875,1703641.5,60.284571428571425,Feminino,307,568,0,Embolia pulmonar
K804,872,1082885.44,50.14449541284404,Feminino,295,577,0,Colelitiase
K920,858,1088417.77,61.50349650349651,Masculino,527,331,0,Outras doencas do aparelho digestivo
O13 ,855,449006.34,28.907602339181288,Feminino,0,855,0,Hipertensao gestacional [induzida pela gravidez] sem proteinuria significativa
L998,851,490135.1,48.72502937720329,Masculino,434,417,0,Outras afeccoes da pele e do tecido subcutaneo em doencas classificadas em outra parte
K819,850,852205.72,53.5364705882353,Feminino,242,608,0,Colecistite
E145,849,788468.91,64.35689045936395,Masculino,558,291,0,Diabetes mellitus nao especificado
O669,847,613170.57,27.376623376623378,Feminino,0,847,0,Outras formas de obstrucao do trabalho de parto
J110,837,954447.0599999999,46.88649940262844,Feminino,412,425,0,Influenza [gripe] devida a virus nao identificado
C539,832,1407064.93,49.09014423076923,Feminino,0,832,0,Neoplasia maligna do colo do utero
O639,830,640468.64,26.64457831325301,Feminino,0,830,0,Trabalho de parto prolongado
M169,819,4523769.08,63.604395604395606,Masculino,443,376,0,Coxartrose [artrose do quadril]
T814,816,1073222.81,50.0625,Feminino,364,452,0,Complicacoes de procedimentos nao classificadas em outra parte
O654,808,608864.35,25.788366336633665,Feminino,0,808,0,Obstrucao do trabalho de parto devida a anormalidade pelvica da mae
K746,808,8862855.55,60.522277227722775,Masculino,522,286,0,Fibrose e cirrose hepaticas
C159,807,822923.04,65.32589838909541,Masculino,592,215,0,Neoplasia maligna do esofago
C259,796,823653.66,64.53643216080403,Masculino,425,371,0,Neoplasia maligna do pancreas
N399,795,437826.25,59.4062893081761,Feminino,373,422,0,Outros transtornos do trato urinario
N879,791,467598.35,41.38053097345133,Feminino,0,791,0,Displasia do colo do utero
K703,789,1934122.73,58.19518377693283,Masculino,689,100,0,Doenca alcoolica do figado
I214,787,3833130.81,64.59212198221093,Masculino,480,307,0,Infarto agudo do miocardio
K319,781,700193.44,44.487836107554415,Masculino,409,372,0,Outras doencas do estomago e do duodeno
C80 ,770,778382.58,61.5025974025974,Feminino,361,409,0,"Neoplasia maligna, sem especificacao de localizacao"
O321,770,645812.7,27.37012987012987,Feminino,0,770,0,"Assistencia prestada a mae por motivo de apresentacao anormal, conhecida ou suspeitada, do feto"
J984,762,3105045.56,48.75328083989501,Masculino,458,304,0,Outros transtornos respiratorios
A310,762,1431981.67,64.07217847769029,Masculino,382,380,0,Infeccoes devidas a outras micobacterias
M233,759,661572.14,52.01844532279315,Feminino,341,418,0,Transtornos internos dos joelhos
C56 ,754,2493294.45,54.824933687002655,Feminino,1,753,0,Neoplasia maligna do ovario
F328,750,360735.07,38.964,Feminino,274,476,0,Episodios depressivos
S526,750,331344.27,42.992,Masculino,378,372,0,Fratura do antebraco
S722,749,1692796.01,69.9452603471295,Feminino,285,464,0,Fratura do femur
J938,746,2368859.88,52.871313672922255,Masculino,461,285,0,Pneumotorax
Z525,746,336169.86,63.08176943699732,Masculino,410,336,0,Doadores de orgaos e tecidos
J100,744,788199.64,55.39381720430107,Feminino,371,373,0,Influenza devida a outro virus da influenza [gripe] identificado
K108,742,609849.63,32.66576819407008,Feminino,307,435,0,Outras doencas dos maxilares
A491,741,597040.4,47.77732793522267,Masculino,427,314,0,Infeccao bacteriana de localizacao nao especificada
F20 ,739,1188356.82,39.08389715832206,Masculino,539,200,0,Esquizofrenia
M179,737,3467838.51,67.34871099050204,Feminino,226,511,0,Gonartrose [artrose do joelho]
C188,737,2714785.44,64.00135685210311,Masculino,375,362,0,Neoplasia maligna do colon
K402,733,639599.32,47.52660300136426,Masculino,602,131,0,Hernia inguinal
N832,732,537141.14,39.88661202185792,Feminino,0,732,0,"Transtornos nao-inflamatorios do ovario, da trompa de Falopio e do ligamento largo"
L031,730,426879.64,46.74794520547945,Masculino,442,288,0,Celulite (Flegmao)
K811,724,859799.86,51.238950276243095,Feminino,178,546,0,Colecistite
I830,723,527648.11,58.54910096818811,Feminino,272,451,0,Varizes dos membros inferiores
T841,720,279243.27999999997,45.233333333333334,Masculino,447,273,0,"Complicacoes de dispositivos proteticos, implantes e enxertos ortopedicos internos"
S528,720,494013.96,40.18194444444445,Masculino,425,295,0,Fratura do antebraco
S430,713,185585.77,48.77279102384292,Masculino,484,229,0,"Luxacao, entorse e distensao das articulacoes e dos ligamentos da cintura escapular"
A150,712,1150921.21,43.348314606741575,Masculino,537,175,0,"Tuberculose respiratoria, com confirmacao bacteriologica e histologica"
A085,709,321412.31,43.37799717912553,Feminino,338,371,0,"Infeccoes intestinais virais, outras e as nao especificadas"
C341,707,3147976.09,64.86138613861387,Masculino,361,346,0,Neoplasia maligna dos bronquios e dos pulmoes
K36 ,691,416405.98,30.154848046309695,Masculino,377,314,0,Outras formas de apendicite
E149,690,498058.91,55.81594202898551,Feminino,273,417,0,Diabetes mellitus nao especificado
P221,679,2599250.98,0.561119293078056,Masculino,413,266,0,Desconforto (angustia) respiratorio(a) do recem-nascido
J129,673,905313.62,47.864784546805346,Masculino,339,334,0,Pneumonia viral nao classificada em outra parte
K839,673,1218134.65,56.95393759286775,Feminino,251,422,0,Outras doencas das vias biliares
O821,673,523211.22000000003,28.13521545319465,Feminino,0,673,0,Parto unico por cesariana
D539,672,360632.7,62.86904761904762,Feminino,304,368,0,Outras anemias nutricionais
C678,672,1532558.96,69.42559523809524,Masculino,466,206,0,Neoplasia maligna da bexiga
E101,672,1208253.33,33.45386904761905,Feminino,260,412,0,Diabetes mellitus insulino-dependente
A509,671,1010622.15,1.8658718330849478,Feminino,329,342,0,Sifilis congenita
N209,669,455923.91,48.2152466367713,Masculino,339,330,0,Calculose do rim e do ureter
N10 ,669,360557.97,52.195814648729446,Feminino,231,438,0,Nefrite tubulo-intersticial aguda
N811,661,325160.21,62.82299546142209,Feminino,1,660,0,Prolapso genital feminino
C168,653,1752183.9,64.28177641653905,Masculino,419,234,0,Neoplasia maligna do estomago
K469,653,563830.35,56.947932618683005,Feminino,247,406,0,Hernia abdominal nao especificada
O689,652,566717.19,27.023006134969325,Feminino,1,651,0,Trabalho de parto e parto complicados por sofrimento fetal
I803,648,480789.0,59.54320987654321,Feminino,255,393,0,Flebite e tromboflebite
K529,643,283860.91,38.55365474339036,Feminino,284,359,0,Outras gastroenterites e colites nao-infecciosas
F332,640,478133.99,41.234375,Feminino,200,440,0,Transtorno depressivo recorrente
A319,635,2546933.99,54.4740157480315,Masculino,343,292,0,Infeccoes devidas a outras micobacterias
I471,630,2566032.14,54.23968253968254,Feminino,251,379,0,Taquicardia paroxistica
S729,628,851742.84,56.76910828025478,Feminino,307,321,0,Fratura do femur
O141,628,487040.7,29.410828025477706,Feminino,0,628,0,Hipertensao gestacional [induzida pela gravidez] com proteinuria significativa
S423,626,645631.12,47.04952076677316,Masculino,358,268,0,Fratura do ombro e do braco
O479,625,134201.13999999998,27.3952,Feminino,1,624,0,Falso trabalho de parto
F319,619,497639.32,39.2794830371567,Feminino,231,388,0,Transtorno afetivo bipolar
I618,616,2082310.89,59.65909090909091,Masculino,345,271,0,Hemorragia intracerebral
K603,611,247142.59,46.83633387888707,Masculino,416,195,0,Fissura e fistula das regioes anal e retal
F316,611,620422.62,41.364975450081836,Feminino,169,442,0,Transtorno afetivo bipolar
S623,611,245050.73,33.33387888707038,Masculino,509,102,0,Fratura ao nivel do punho e da mao
N850,608,169757.05,54.36348684210526,Feminino,0,608,0,"Outros transtornos nao-inflamatorios do utero, exceto do colo do utero"
A318,607,1382185.28,59.828665568369026,Masculino,312,295,0,Infeccoes devidas a outras micobacterias
M232,607,559219.87,48.45963756177924,Feminino,300,307,0,Transtornos internos dos joelhos
H334,605,4060072.54,64.89090909090909,Masculino,319,286,0,Descolamentos e defeitos da retina
D391,596,1052094.26,47.73322147651007,Feminino,1,595,0,Neoplasia de comportamento incerto ou desconhecido dos orgaos genitais femininos
S520,592,367592.2,43.15878378378378,Masculino,377,215,0,Fratura do antebraco
T028,592,279253.39,56.5152027027027,Masculino,326,266,0,Fraturas envolvendo multiplas regioes do corpo
I694,590,1387998.39,69.35762711864406,Feminino,289,301,0,Sequelas de doencas cerebrovasculares
P228,590,5475478.14,0.48983050847457626,Masculino,363,227,0,Desconforto (angustia) respiratorio(a) do recem-nascido
K639,589,518311.58,47.276740237691,Feminino,292,297,0,Outras doencas do intestino
F199,588,409399.7,34.285714285714285,Masculino,432,156,0,Transtornos mentais e comportamentais devidos ao uso de multiplas drogas e ao uso de outras substancias psicoativas
S860,584,371694.33,41.8013698630137,Masculino,519,65,0,Traumatismos de musculo e de tendao ao nivel da perna
T023,582,358759.83,60.422680412371136,Feminino,289,293,0,Fraturas envolvendo multiplas regioes do corpo
I848,581,203207.51,50.621342512908775,Feminino,228,353,0,Hemorroidas
I255,581,7077992.76,64.76075731497419,Masculino,399,182,0,Doenca isquemica cronica do coracao
T191,579,355644.23000000004,50.369602763385146,Masculino,311,268,0,Corpo estranho no trato geniturinario
F333,578,455947.05,45.050173010380625,Feminino,215,363,0,Transtorno depressivo recorrente
E46 ,576,704121.85,53.736111111111114,Masculino,314,262,0,Desnutricao proteico-calorica nao especificada
H335,576,3589075.05,66.43055555555556,Masculino,298,278,0,Descolamentos e defeitos da retina
J128,571,883084.41,56.13835376532399,Masculino,290,281,0,Pneumonia viral nao classificada em outra parte
K650,569,1723173.61,47.67838312829525,Masculino,295,274,0,Peritonite
C182,564,1857586.56,64.41312056737588,Feminino,281,283,0,Neoplasia maligna do colon
K638,564,985000.0700000001,52.37056737588652,Feminino,280,284,0,Outras doencas do intestino
N210,563,361823.98000000004,54.51509769094139,Masculino,337,226,0,Calculose do trato urinario inferior
N133,563,837438.38,54.52220248667851,Masculino,291,272,0,Uropatia obstrutiva e por refluxo
S820,560,433921.17,49.47142857142857,Masculino,323,237,0,"Fratura da perna, incluindo tornozelo"
S832,560,497465.86,49.957142857142856,Feminino,257,303,0,"Luxacao, entorse e distensao das articulacoes e dos ligamentos do joelho"
C180,559,1382495.28,61.95885509838998,Masculino,281,278,0,Neoplasia maligna do colon
R55 ,559,619787.66,63.64758497316637,Masculino,296,263,0,Sincope e colapso
L089,557,562053.2,53.0556552962298,Masculino,343,214,0,Outras infeccoes localizadas da pele e do tecido subcutaneo
K350,553,461376.6,30.808318264014467,Masculino,302,251,0,Apendicite aguda
F208,549,366408.28,41.169398907103826,Masculino,371,178,0,Esquizofrenia
M653,547,196747.13,53.458866544789764,Feminino,107,440,0,Sinovite e tenossinovite
F314,544,365861.18,39.88970588235294,Feminino,147,397,0,Transtorno afetivo bipolar
P968,543,1637981.42,2.395948434622468,Masculino,296,247,0,Outras afeccoes originadas no periodo perinatal
S270,538,1178563.52,47.20817843866171,Masculino,445,93,0,Traumatismo de outros orgaos intratoracicos e dos nao especificados
G458,538,538811.74,66.9275092936803,Feminino,260,278,0,Acidentes vasculares cerebrais isquemicos transitorios e sindromes correlatas
K420,536,338759.77,49.88805970149254,Masculino,298,238,0,Hernia umbilical
K297,535,139035.43,55.865420560747665,Feminino,248,287,0,Gastrite e duodenite
D481,534,2239308.0100000002,56.08239700374532,Feminino,250,284,0,Neoplasia de comportamento incerto ou desconhecido de outras localizacoes e de localizacoes nao especificadas
C73 ,533,1617653.68,52.25703564727955,Feminino,109,424,0,Neoplasia maligna da glandula tireoide
O100,532,310521.73,30.592105263157894,Feminino,0,532,0,"Hipertensao pre-existente complicando a gravidez, o parto e o puerperio"
K851,532,419354.19,52.72744360902256,Feminino,206,326,0,Pancreatite aguda
C770,532,1680967.99,54.86842105263158,Masculino,286,246,0,Neoplasia maligna secundaria e nao especificada dos ganglios linfaticos
Z018,531,133907.16,61.843691148775896,Masculino,377,154,0,Outros exames e investigacoes especiais de pessoas sem queixa ou diagnostico relatado
